                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.86857,                0.38281,                0.91339,                0.99918,                      1,                  0.995,                0.79496,                0.88232,                0.31551,                 0.9509,              0.0095149,              0.0095149,              0.0095149
                     51,                0.85874,                 0.3814,                0.91171,                0.99935,                      1,                  0.995,                0.79878,                0.88658,                0.32788,                0.95402,               0.009505,               0.009505,               0.009505
                     52,                0.87106,                0.37787,                0.91645,                0.99925,                      1,                  0.995,                0.77883,                0.91455,                0.32227,                0.96581,              0.0094951,              0.0094951,              0.0094951
                     53,                0.86299,                0.38449,                0.91131,                0.99933,                      1,                  0.995,                0.77951,                0.89153,                0.32124,                0.95249,              0.0094852,              0.0094852,              0.0094852
                     54,                0.86198,                0.37895,                0.90849,                0.99911,                      1,                  0.995,                0.78107,                0.89201,                 0.3231,                0.95419,              0.0094753,              0.0094753,              0.0094753
                     55,                 0.8675,                0.38078,                0.90912,                0.99938,                      1,                  0.995,                0.77603,                 0.9051,                0.31742,                0.95744,              0.0094654,              0.0094654,              0.0094654
                     56,                0.86678,                0.37419,                0.91634,                0.99916,                      1,                  0.995,                0.77496,                0.88948,                0.31558,                0.95641,              0.0094555,              0.0094555,              0.0094555
                     57,                0.85256,                0.37234,                0.91418,                0.99932,                      1,                  0.995,                0.78825,                0.90483,                0.31436,                 0.9646,              0.0094456,              0.0094456,              0.0094456
                     58,                 0.8476,                0.37058,                0.91123,                0.99928,                      1,                  0.995,                0.78977,                0.89706,                0.32415,                0.94932,              0.0094357,              0.0094357,              0.0094357
                     59,                0.85721,                0.37305,                0.90916,                0.99929,                      1,                  0.995,                0.78305,                0.90225,                0.32766,                 0.9607,              0.0094258,              0.0094258,              0.0094258
                     60,                0.86603,                0.38173,                0.91254,                0.99915,                      1,                  0.995,                0.77307,                0.90477,                 0.3225,                0.96453,              0.0094159,              0.0094159,              0.0094159
                     61,                0.84773,                  0.371,                0.90557,                0.99932,                      1,                  0.995,                0.80005,                0.84423,                0.30442,                 0.9346,               0.009406,               0.009406,               0.009406
                     62,                0.85177,                0.37285,                0.90389,                0.99929,                      1,                  0.995,                0.78478,                0.87362,                0.32511,                 0.9453,              0.0093961,              0.0093961,              0.0093961
                     63,                0.85729,                0.37461,                0.91478,                0.99912,                      1,                  0.995,                0.78573,                0.86585,                0.31529,                0.94397,              0.0093862,              0.0093862,              0.0093862
                     64,                 0.8571,                0.37499,                0.91118,                0.99892,                      1,                  0.995,                0.78752,                0.87652,                0.31628,                0.94603,              0.0093763,              0.0093763,              0.0093763
                     65,                0.85478,                0.37214,                0.90941,                0.99923,                      1,                  0.995,                0.78936,                0.89102,                0.31785,                0.95778,              0.0093664,              0.0093664,              0.0093664
                     66,                0.84656,                0.37418,                0.90891,                0.99923,                      1,                  0.995,                0.78045,                 0.8914,                0.31953,                 0.9478,              0.0093565,              0.0093565,              0.0093565
                     67,                0.85641,                0.37341,                0.90901,                0.99935,                      1,                  0.995,                 0.7785,                0.90914,                0.32574,                0.95846,              0.0093466,              0.0093466,              0.0093466
