                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.84041,                0.36737,                0.90235,                0.99929,                      1,                  0.995,                0.78504,                0.87478,                0.32305,                0.94401,              0.0094852,              0.0094852,              0.0094852
                     54,                0.83365,                0.36603,                0.89951,                0.99924,                      1,                  0.995,                0.78844,                0.88337,                0.30557,                 0.9544,              0.0094753,              0.0094753,              0.0094753
                     55,                0.83997,                 0.3639,                0.90019,                0.99924,                      1,                  0.995,                 0.7897,                0.88603,                0.31112,                 0.9521,              0.0094654,              0.0094654,              0.0094654
                     56,                0.83977,                0.36089,                0.90757,                0.99924,                      1,                  0.995,                  0.796,                0.87283,                0.31422,                0.94241,              0.0094555,              0.0094555,              0.0094555
                     57,                0.82846,                0.35566,                0.90594,                0.99399,                0.99828,                  0.995,                0.77716,                0.89802,                0.33503,                0.96477,              0.0094456,              0.0094456,              0.0094456
                     58,                 0.8206,                 0.3548,                0.90332,                0.99936,                      1,                  0.995,                0.78129,                0.88425,                0.30853,                 0.9476,              0.0094357,              0.0094357,              0.0094357
                     59,                0.83272,                0.35911,                 0.8999,                 0.9993,                      1,                  0.995,                0.80381,                0.87444,                 0.3104,                 0.9504,              0.0094258,              0.0094258,              0.0094258
                     60,                0.83931,                0.36343,                0.90273,                0.99874,                      1,                  0.995,                0.78518,                0.89013,                0.31185,                0.95609,              0.0094159,              0.0094159,              0.0094159
                     61,                0.81951,                0.35498,                0.89729,                0.99933,                      1,                  0.995,                0.79488,                0.86369,                0.31228,                0.94569,               0.009406,               0.009406,               0.009406
                     62,                0.83083,                0.35722,                0.89628,                0.99935,                      1,                  0.995,                0.78517,                0.88459,                 0.3072,                 0.9416,              0.0093961,              0.0093961,              0.0093961
                     63,                0.82342,                0.35469,                0.90397,                0.99938,                      1,                  0.995,                0.79835,                 0.8668,                0.30274,                0.94081,              0.0093862,              0.0093862,              0.0093862
                     64,                0.83023,                0.35854,                0.90142,                0.99921,                      1,                  0.995,                0.79746,                0.86042,                0.30522,                0.94339,              0.0093763,              0.0093763,              0.0093763
                     65,                0.82155,                0.35458,                0.89958,                 0.9989,                      1,                  0.995,                0.79327,                0.86931,                0.30137,                 0.9414,              0.0093664,              0.0093664,              0.0093664
                     66,                0.81432,                0.35095,                0.89934,                0.99924,                      1,                  0.995,                0.79616,                0.85236,                0.30768,                 0.9417,              0.0093565,              0.0093565,              0.0093565
