                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.86105,                0.36056,                 0.9171,                0.99929,                      1,                  0.995,                0.77979,                0.89632,                0.30529,                0.95288,              0.0092872,              0.0092872,              0.0092872
                     74,                0.86266,                0.36114,                0.91938,                0.99926,                      1,                  0.995,                0.78001,                 0.9151,                0.31382,                0.96284,              0.0092773,              0.0092773,              0.0092773
                     75,                0.85968,                 0.3582,                 0.9178,                0.99949,                      1,                  0.995,                0.78315,                0.89984,                0.30462,                0.95174,              0.0092674,              0.0092674,              0.0092674
                     76,                0.87271,                0.36226,                0.92556,                0.99919,                      1,                  0.995,                0.78941,                0.88053,                0.30644,                0.94627,              0.0092575,              0.0092575,              0.0092575
                     77,                0.86296,                0.36284,                0.91732,                 0.9995,                      1,                  0.995,                 0.7892,                 0.8665,                0.29967,                0.95001,              0.0092476,              0.0092476,              0.0092476
                     78,                0.85704,                0.35568,                 0.9178,                0.99938,                      1,                  0.995,                 0.7859,                0.88417,                0.30137,                0.95217,              0.0092377,              0.0092377,              0.0092377
                     79,                0.86854,                0.36046,                0.91982,                0.99916,                      1,                  0.995,                0.79607,                0.90247,                 0.3042,                0.95465,              0.0092278,              0.0092278,              0.0092278
                     80,                0.86598,                0.36177,                0.92249,                0.99912,                      1,                  0.995,                 0.7984,                0.87384,                0.31149,                0.94493,              0.0092179,              0.0092179,              0.0092179
                     81,                0.86419,                0.36084,                0.92048,                0.99942,                      1,                  0.995,                0.78905,                0.90068,                0.30442,                0.95265,               0.009208,               0.009208,               0.009208
                     82,                 0.8595,                0.36039,                0.91986,                0.99959,                      1,                  0.995,                0.78166,                0.89295,                0.30569,                0.95122,              0.0091981,              0.0091981,              0.0091981
                     83,                0.85378,                0.35676,                0.91777,                0.99937,                      1,                  0.995,                0.79391,                0.91638,                0.30614,                0.97384,              0.0091882,              0.0091882,              0.0091882
                     84,                0.86396,                0.36129,                 0.9189,                0.99925,                      1,                  0.995,                0.79135,                0.87259,                0.30523,                0.94263,              0.0091783,              0.0091783,              0.0091783
                     85,                0.85924,                0.35742,                0.91326,                0.99953,                      1,                  0.995,                0.79908,                0.86822,                 0.2968,                0.93935,              0.0091684,              0.0091684,              0.0091684
                     86,                 0.8559,                0.35744,                0.91769,                0.99932,                      1,                  0.995,                0.79904,                0.85483,                  0.296,                0.93677,              0.0091585,              0.0091585,              0.0091585
                     87,                0.85628,                0.35658,                0.91989,                0.99921,                      1,                  0.995,                0.79736,                0.85304,                0.31101,                0.93879,              0.0091486,              0.0091486,              0.0091486
                     88,                0.84961,                0.35626,                0.91652,                0.99911,                      1,                  0.995,                0.80165,                0.85225,                0.30343,                0.93593,              0.0091387,              0.0091387,              0.0091387
                     89,                0.85873,                 0.3572,                0.91624,                0.99947,                      1,                  0.995,                0.79973,                0.86011,                0.29427,                0.93684,              0.0091288,              0.0091288,              0.0091288
