                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.74363,                0.32281,                0.86552,                0.99875,                      1,                  0.995,                0.81275,                0.84322,                0.28855,                0.91436,              0.0091684,              0.0091684,              0.0091684
                     86,                0.74243,                0.32257,                0.86799,                 0.9993,                      1,                  0.995,                0.80103,                0.84826,                0.28769,                0.91387,              0.0091585,              0.0091585,              0.0091585
                     87,                0.74056,                0.31965,                0.86849,                0.99927,                      1,                  0.995,                0.80918,                0.85496,                0.29289,                 0.9145,              0.0091486,              0.0091486,              0.0091486
                     88,                0.73656,                0.32031,                0.86588,                0.99924,                      1,                  0.995,                 0.8103,                0.86509,                0.29064,                 0.9215,              0.0091387,              0.0091387,              0.0091387
                     89,                0.74128,                0.32252,                0.86434,                0.99929,                      1,                  0.995,                0.81518,                0.82521,                0.28121,                0.91152,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.7286,                0.32218,                 0.8622,                0.99921,                      1,                  0.995,                0.81689,                0.83824,                0.28855,                0.91305,              0.0091189,              0.0091189,              0.0091189
                     91,                0.73274,                0.32348,                0.86625,                0.99899,                      1,                  0.995,                0.80762,                0.85232,                0.29122,                 0.9153,               0.009109,               0.009109,               0.009109
                     92,                 0.7303,                0.31822,                0.86598,                0.99936,                      1,                  0.995,                0.81357,                0.84512,                0.28406,                0.92047,              0.0090991,              0.0090991,              0.0090991
                     93,                0.72302,                0.31778,                0.86456,                 0.9991,                      1,                  0.995,                0.81401,                0.82436,                0.28405,                0.91316,              0.0090892,              0.0090892,              0.0090892
                     94,                0.72958,                0.31625,                0.86512,                 0.9993,                      1,                  0.995,                0.81713,                0.83476,                0.28521,                0.91354,              0.0090793,              0.0090793,              0.0090793
                     95,                0.72611,                0.31963,                0.86688,                0.99928,                      1,                  0.995,                0.80741,                0.85362,                0.28409,                0.91447,              0.0090694,              0.0090694,              0.0090694
                     96,                0.73538,                0.32015,                0.86641,                0.99934,                      1,                  0.995,                0.81495,                0.85375,                0.29458,                 0.9179,              0.0090595,              0.0090595,              0.0090595
                     97,                0.72281,                0.31453,                0.86284,                0.99939,                      1,                  0.995,                0.81624,                0.85142,                0.28893,                0.91648,              0.0090496,              0.0090496,              0.0090496
                     98,                0.71974,                0.31637,                0.86068,                0.99931,                      1,                  0.995,                0.81744,                0.83249,                0.27613,                0.91482,              0.0090397,              0.0090397,              0.0090397
                     99,                0.72223,                0.31445,                0.86296,                 0.9991,                      1,                  0.995,                0.81354,                 0.8212,                0.28195,                 0.9074,              0.0090298,              0.0090298,              0.0090298
                    100,                0.71766,                0.31355,                 0.8596,                0.99911,                      1,                  0.995,                0.81532,                  0.823,                0.27745,                0.91122,              0.0090199,              0.0090199,              0.0090199
                    101,                0.71244,                0.31051,                0.86149,                0.99922,                      1,                  0.995,                0.82861,                0.80766,                0.27251,                0.90318,                0.00901,                0.00901,                0.00901
                    102,                 0.7172,                0.31282,                0.86311,                0.99922,                      1,                  0.995,                0.80995,                0.85398,                 0.2819,                0.91805,              0.0090001,              0.0090001,              0.0090001
                    103,                0.70962,                0.30993,                0.85924,                0.99927,                      1,                  0.995,                0.80763,                0.84263,                0.28042,                0.92233,              0.0089902,              0.0089902,              0.0089902
                    104,                0.70975,                0.31435,                0.86034,                0.99943,                      1,                  0.995,                0.81223,                0.83353,                0.27975,                0.91276,              0.0089803,              0.0089803,              0.0089803
                    105,                0.70467,                0.31082,                0.85903,                0.99932,                      1,                  0.995,                0.81284,                0.84804,                0.28102,                0.91701,              0.0089704,              0.0089704,              0.0089704
                    106,                0.69969,                0.31034,                0.85703,                0.99933,                      1,                  0.995,                0.81619,                0.82838,                0.27817,                0.90656,              0.0089605,              0.0089605,              0.0089605
                    107,                0.69489,                0.30817,                0.85633,                0.99937,                      1,                  0.995,                0.81596,                0.84887,                 0.2789,                0.91321,              0.0089506,              0.0089506,              0.0089506
                    108,                 0.7022,                0.30829,                0.85992,                0.99773,                0.99938,                  0.995,                0.82464,                0.81201,                0.27245,                0.90641,              0.0089407,              0.0089407,              0.0089407
                    109,                0.69433,                0.30376,                0.86056,                0.99932,                      1,                  0.995,                0.81765,                0.83023,                 0.2725,                0.91192,              0.0089308,              0.0089308,              0.0089308
                    110,                0.69646,                 0.3052,                0.85972,                0.99937,                      1,                  0.995,                0.82287,                0.82695,                0.27982,                0.91454,              0.0089209,              0.0089209,              0.0089209
                    111,                0.70489,                0.31069,                0.85996,                0.99926,                      1,                  0.995,                0.82036,                0.82286,                0.27227,                0.90795,               0.008911,               0.008911,               0.008911
                    112,                0.68877,                0.30315,                0.85593,                0.99938,                      1,                  0.995,                0.82429,                0.82268,                0.27807,                0.91248,              0.0089011,              0.0089011,              0.0089011
                    113,                0.69283,                0.30549,                0.85488,                0.99939,                      1,                  0.995,                0.81376,                0.83352,                0.28228,                0.91862,              0.0088912,              0.0088912,              0.0088912
                    114,                0.69338,                0.30751,                0.85623,                0.99919,                      1,                  0.995,                0.81888,                0.82236,                0.27733,                0.90826,              0.0088813,              0.0088813,              0.0088813
                    115,                0.68625,                0.30403,                0.85724,                0.99934,                      1,                  0.995,                0.81613,                0.80634,                0.27377,                0.90835,              0.0088714,              0.0088714,              0.0088714
                    116,                0.69087,                0.30381,                0.85787,                0.99937,                      1,                  0.995,                0.82261,                0.81822,                0.27299,                0.91184,              0.0088615,              0.0088615,              0.0088615
                    117,                0.68774,                0.30588,                0.85707,                0.99931,                      1,                  0.995,                0.81362,                0.83626,                0.27849,                0.91637,              0.0088516,              0.0088516,              0.0088516
                    118,                0.68479,                0.30472,                0.85324,                0.99928,                      1,                  0.995,                0.81857,                0.83578,                0.27861,                0.91386,              0.0088417,              0.0088417,              0.0088417
                    119,                0.67838,                0.30196,                0.85021,                0.99923,                      1,                  0.995,                0.82885,                0.79784,                0.27528,                0.90472,              0.0088318,              0.0088318,              0.0088318
                    120,                0.67664,                0.30304,                0.85624,                0.99936,                      1,                  0.995,                  0.818,                0.82416,                0.27618,                0.91355,              0.0088219,              0.0088219,              0.0088219
                    121,                0.67148,                0.29798,                0.85614,                0.99937,                      1,                  0.995,                0.81964,                0.83283,                0.27853,                0.91307,               0.008812,               0.008812,               0.008812
                    122,                0.66981,                0.29768,                0.85458,                0.99935,                      1,                  0.995,                0.81606,                 0.8258,                0.27653,                0.91133,              0.0088021,              0.0088021,              0.0088021
                    123,                0.66752,                0.29738,                0.85364,                 0.9993,                      1,                  0.995,                0.82008,                0.82782,                0.27343,                0.91333,              0.0087922,              0.0087922,              0.0087922
                    124,                0.67209,                0.30123,                0.85579,                0.99916,                      1,                  0.995,                0.81723,                0.82045,                0.27788,                0.91782,              0.0087823,              0.0087823,              0.0087823
